"","District","value.ID","value.NO2_column_number_density","month","year","no2"
"1","moshi",1,43.2784156799316,"07","2018","NO2"
"2","moshi",1,44.0843811035156,"07","2018","NO2"
"3","moshi",1,43.3039512634277,"07","2018","NO2"
"4","moshi",1,43.8626556396484,"07","2018","NO2"
"5","moshi",1,43.8626556396484,"07","2018","NO2"
"6","moshi",1,43.5057029724121,"07","2018","NO2"
"7","moshi",1,42.8503646850586,"07","2018","NO2"
"8","moshi",1,43.3226432800293,"07","2018","NO2"
"9","moshi",1,43.8080902099609,"07","2018","NO2"
"10","moshi",1,43.8080902099609,"07","2018","NO2"
"11","moshi",1,45.5108642578125,"07","2018","NO2"
"12","moshi",1,44.7278366088867,"07","2018","NO2"
"13","moshi",1,45.3305740356445,"07","2018","NO2"
"14","moshi",1,45.8714141845703,"07","2018","NO2"
"15","moshi",1,45.4697570800781,"07","2018","NO2"
"16","moshi",1,42.8503646850586,"07","2018","NO2"
"17","moshi",1,43.3175354003906,"07","2018","NO2"
"18","moshi",1,43.2181053161621,"07","2018","NO2"
"19","moshi",1,44.6921653747559,"07","2018","NO2"
"20","moshi",1,44.6921653747559,"07","2018","NO2"
"21","moshi",1,46.1876068115234,"07","2018","NO2"
"22","moshi",1,46.2196426391602,"07","2018","NO2"
"23","moshi",1,45.8714141845703,"07","2018","NO2"
"24","moshi",1,45.8714141845703,"07","2018","NO2"
"25","moshi",1,46.3646583557129,"07","2018","NO2"
"26","moshi",1,46.7440757751465,"07","2018","NO2"
"27","moshi",1,43.9776649475098,"07","2018","NO2"
"28","moshi",1,43.9776649475098,"07","2018","NO2"
"29","moshi",1,43.2570571899414,"07","2018","NO2"
"30","moshi",1,44.7969741821289,"07","2018","NO2"
"31","moshi",1,44.7969741821289,"07","2018","NO2"
"32","moshi",1,46.0673599243164,"07","2018","NO2"
"33","moshi",1,45.8427047729492,"07","2018","NO2"
"34","moshi",1,46.402400970459,"07","2018","NO2"
"35","moshi",1,47.2180862426758,"07","2018","NO2"
"36","moshi",1,47.0095596313477,"07","2018","NO2"
"37","moshi",1,47.3767929077148,"07","2018","NO2"
"38","moshi",1,43.9776649475098,"07","2018","NO2"
"39","moshi",1,43.9776649475098,"07","2018","NO2"
"40","moshi",1,43.2570571899414,"07","2018","NO2"
"41","moshi",1,44.7969741821289,"07","2018","NO2"
"42","moshi",1,44.7969741821289,"07","2018","NO2"
"43","moshi",1,46.0673599243164,"07","2018","NO2"
"44","moshi",1,45.8427047729492,"07","2018","NO2"
"45","moshi",1,46.402400970459,"07","2018","NO2"
"46","moshi",1,47.2180862426758,"07","2018","NO2"
"47","moshi",1,47.0095596313477,"07","2018","NO2"
"48","moshi",1,43.9211502075195,"07","2018","NO2"
"49","moshi",1,42.728199005127,"07","2018","NO2"
"50","moshi",1,44.2479476928711,"07","2018","NO2"
"51","moshi",1,44.2479476928711,"07","2018","NO2"
"52","moshi",1,46.2082328796387,"07","2018","NO2"
"53","moshi",1,44.4617500305176,"07","2018","NO2"
"54","moshi",1,46.3890380859375,"07","2018","NO2"
"55","moshi",1,46.3890380859375,"07","2018","NO2"
"56","moshi",1,46.9102058410645,"07","2018","NO2"
"57","moshi",1,46.7787818908691,"07","2018","NO2"
"58","moshi",1,46.3663864135742,"08","2018","NO2"
"59","moshi",1,46.3663864135742,"08","2018","NO2"
"60","moshi",1,46.2751197814941,"08","2018","NO2"
"61","moshi",1,46.0209999084473,"08","2018","NO2"
"62","moshi",1,46.0209999084473,"08","2018","NO2"
"63","moshi",1,48.9202308654785,"08","2018","NO2"
"64","moshi",1,45.3558387756348,"08","2018","NO2"
"65","moshi",1,46.1173820495605,"08","2018","NO2"
"66","moshi",1,49.0046806335449,"08","2018","NO2"
"67","moshi",1,49.0046806335449,"08","2018","NO2"
"68","moshi",1,49.8786163330078,"08","2018","NO2"
"69","moshi",1,50.2165679931641,"08","2018","NO2"
"70","moshi",1,47.5976867675781,"08","2018","NO2"
"71","moshi",1,47.5291862487793,"08","2018","NO2"
"72","moshi",1,48.1898040771484,"08","2018","NO2"
"73","moshi",1,48.5780868530273,"08","2018","NO2"
"74","moshi",1,47.0598297119141,"08","2018","NO2"
"75","moshi",1,47.0723152160645,"08","2018","NO2"
"76","moshi",1,49.3927574157715,"08","2018","NO2"
"77","moshi",1,49.3927574157715,"08","2018","NO2"
"78","moshi",1,49.7633476257324,"08","2018","NO2"
